Plate,Row,Col,Well,True_OD
Plate 0002,H,9,H9,0.1199
Plate 0002,A,10,A10,0.1421
Plate 0002,B,10,B10,0.1913
Plate 0002,C,10,C10,0.123
Plate 0002,D,10,D10,0.1748
Plate 0002,E,10,E10,0.1028
Plate 0002,F,10,F10,0.1336
Plate 0002,G,10,G10,0.1154
Plate 0002,H,10,H10,0.1394
Plate 0002,A,11,A11,0.0995
Plate 0002,B,11,B11,0.122
Plate 0002,C,11,C11,0.161
Plate 0002,D,11,D11,0.1487
Plate 0002,E,11,E11,0.1335
Plate 0002,F,11,F11,0.1341
Plate 0002,G,11,G11,0.1909
Plate 0002,H,11,H11,0.1699
Plate 0004,A,1,A1,2.7727
Plate 0004,B,1,B1,1.5348
Plate 0004,C,1,C1,0.9544
Plate 0004,D,1,D1,0.4437
Plate 0004,E,1,E1,0.2561
Plate 0004,F,1,F1,0.1494
Plate 0004,G,1,G1,0.1134
Plate 0004,H,1,H1,0.0841
Plate 0004,A,2,A2,3.5503
Plate 0004,B,2,B2,1.6605
Plate 0004,C,2,C2,0.9899
Plate 0004,D,2,D2,0.4695
Plate 0004,E,2,E2,0.2376
Plate 0004,F,2,F2,0.1429
Plate 0004,G,2,G2,0.1012
Plate 0004,H,2,H2,0.0805
Plate 0004,A,3,A3,3.4868
Plate 0004,B,3,B3,1.9756
Plate 0004,C,3,C3,0.6923
Plate 0004,D,3,D3,0.3461
Plate 0004,E,3,E3,0.4478
Plate 0004,F,3,F3,1.2287
Plate 0004,G,3,G3,2.1186
Plate 0004,H,3,H3,2.5084
Plate 0004,A,4,A4,3.5035
Plate 0004,B,4,B4,2.252
Plate 0004,C,4,C4,0.7772
Plate 0004,D,4,D4,0.359
Plate 0004,E,4,E4,0.4514
Plate 0004,F,4,F4,0.4905
Plate 0004,G,4,G4,1.772
Plate 0004,H,4,H4,2.6776
Plate 0004,A,5,A5,2.4751
Plate 0004,B,5,B5,1.2235
Plate 0004,C,5,C5,0.9463
Plate 0004,D,5,D5,0.9261
Plate 0004,E,5,E5,0.7109
Plate 0004,F,5,F5,1.3881
Plate 0004,G,5,G5,0.4573
Plate 0004,H,5,H5,0.5899
Plate 0004,A,6,A6,2.5922
Plate 0004,B,6,B6,1.5426
Plate 0004,C,6,C6,0.9374
Plate 0004,D,6,D6,0.8687
Plate 0004,E,6,E6,1.4446
Plate 0004,F,6,F6,1.347
Plate 0004,G,6,G6,0.4716
Plate 0004,H,6,H6,0.6221
Plate 0004,A,7,A7,1.8067
Plate 0004,B,7,B7,2.2183
Plate 0004,C,7,C7,0.1075
Plate 0004,D,7,D7,0.0802
Plate 0004,E,7,E7,0.1072
Plate 0004,F,7,F7,0.185
Plate 0004,G,7,G7,0.1082
Plate 0004,H,7,H7,0.1111
Plate 0004,A,8,A8,2.0014
Plate 0004,B,8,B8,2.3882
Plate 0004,C,8,C8,0.0931
Plate 0004,D,8,D8,0.0765
Plate 0004,E,8,E8,0.0975
Plate 0004,F,8,F8,0.1686
Plate 0004,G,8,G8,0.1134
Plate 0004,H,8,H8,0.1145
Plate 0004,A,9,A9,0.0946
Plate 0004,B,9,B9,0.0774
Plate 0004,C,9,C9,0.089
Plate 0004,D,9,D9,0.0882
Plate 0004,E,9,E9,0.0944
Plate 0004,F,9,F9,0.0928
Plate 0004,G,9,G9,0.0619
Plate 0004,H,9,H9,0.0821
Plate 0004,A,10,A10,0.083
Plate 0004,B,10,B10,0.0729
Plate 0004,C,10,C10,0.0952
Plate 0004,D,10,D10,0.0881
Plate 0004,E,10,E10,0.0929
Plate 0004,F,10,F10,0.0789
Plate 0004,G,10,G10,0.0662
Plate 0004,H,10,H10,0.0484
Plate 0004,A,11,A11,0.2188
Plate 0004,B,11,B11,0.1833
Plate 0004,C,11,C11,0.1704
Plate 0004,D,11,D11,0.223
Plate 0004,E,11,E11,0.2117
Plate 0004,F,11,F11,0.2262
Plate 0004,G,11,G11,0.1794
Plate 0004,H,11,H11,0.1717
Plate 0004,A,12,A12,0.168
Plate 0004,B,12,B12,0.1318
Plate 0004,C,12,C12,0.123
Plate 0004,D,12,D12,0.2121
Plate 0004,E,12,E12,0.2154
Plate 0004,F,12,F12,0.1474
Plate 0004,G,12,G12,0.1164
Plate 0004,H,12,H12,0.1644
Plate 0005,A,1,A1,2.3429
Plate 0005,B,1,B1,1.2156
Plate 0005,C,1,C1,0.5596
Plate 0005,D,1,D1,0.4085
Plate 0005,E,1,E1,0.242
Plate 0005,F,1,F1,0.1584
Plate 0005,G,1,G1,0.1123
Plate 0005,H,1,H1,0.0986
Plate 0005,A,2,A2,2.3785
Plate 0005,B,2,B2,1.1789
Plate 0005,C,2,C2,0.651
Plate 0005,D,2,D2,0.3456
Plate 0005,E,2,E2,0.2087
Plate 0005,F,2,F2,0.1536
Plate 0005,G,2,G2,0.108
Plate 0005,H,2,H2,0.092
Plate 0005,A,3,A3,2.2312
Plate 0005,B,3,B3,1.2047
Plate 0005,C,3,C3,0.4628
Plate 0005,D,3,D3,0.2249
Plate 0005,E,3,E3,0.5665
Plate 0005,F,3,F3,1.1579
Plate 0005,G,3,G3,1.7605
Plate 0005,H,3,H3,2.1889
Plate 0005,A,4,A4,2.9397
Plate 0005,B,4,B4,2.0335
Plate 0005,C,4,C4,0.5779
Plate 0005,D,4,D4,0.2935
Plate 0005,E,4,E4,0.6612
Plate 0005,F,4,F4,1.0408
Plate 0005,G,4,G4,1.9842
Plate 0005,H,4,H4,2.3024
Plate 0005,A,5,A5,3.6963
Plate 0005,B,5,B5,2.5378
Plate 0005,C,5,C5,0.9634
Plate 0005,D,5,D5,1.0083
Plate 0005,E,5,E5,1.5827
Plate 0005,F,5,F5,1.412
Plate 0005,G,5,G5,2.2459
Plate 0005,H,5,H5,2.631
Plate 0005,A,6,A6,3.2635
Plate 0005,B,6,B6,2.4301
Plate 0005,C,6,C6,1.2838
Plate 0005,D,6,D6,1.4109
Plate 0005,E,6,E6,1.3516
Plate 0005,F,6,F6,1.4817
Plate 0005,G,6,G6,2.4922
Plate 0005,H,6,H6,2.5306
Plate 0005,A,7,A7,0.4248
Plate 0005,B,7,B7,0.3514
Plate 0005,C,7,C7,0.1289
Plate 0005,D,7,D7,0.0961
Plate 0005,E,7,E7,0.1139
Plate 0005,F,7,F7,0.2
Plate 0005,G,7,G7,0.9576
Plate 0005,H,7,H7,0.1612
Plate 0005,A,8,A8,0.5663
Plate 0005,B,8,B8,0.769
Plate 0005,C,8,C8,0.1348
Plate 0005,D,8,D8,0.1099
Plate 0005,E,8,E8,0.1039
Plate 0005,F,8,F8,0.2011
Plate 0005,G,8,G8,0.1171
Plate 0005,H,8,H8,0.1222
Plate 0005,A,9,A9,0.1205
Plate 0005,B,9,B9,0.1005
Plate 0005,C,9,C9,0.143
Plate 0005,D,9,D9,0.1104
Plate 0005,E,9,E9,0.0995
Plate 0005,F,9,F9,0.0874
Plate 0005,G,9,G9,0.0689
Plate 0005,H,9,H9,0.0655
Plate 0005,A,10,A10,0.1405
Plate 0005,B,10,B10,0.1056
Plate 0005,C,10,C10,0.132
Plate 0005,D,10,D10,0.2243
Plate 0005,E,10,E10,0.099
Plate 0005,F,10,F10,0.0784
Plate 0005,G,10,G10,0.0762
Plate 0005,H,10,H10,0.0735
Plate 0005,A,11,A11,0.2279
Plate 0005,B,11,B11,0.3141
Plate 0005,C,11,C11,0.2021
Plate 0005,D,11,D11,0.1469
Plate 0005,E,11,E11,0.1208
Plate 0005,F,11,F11,0.1557
Plate 0005,G,11,G11,0.1573
Plate 0005,H,11,H11,0.213
Plate 0005,A,12,A12,0.2813
Plate 0005,B,12,B12,0.2779
Plate 0005,C,12,C12,0.1789
Plate 0005,D,12,D12,0.1321
Plate 0005,E,12,E12,0.1325
Plate 0005,F,12,F12,0.2025
Plate 0005,G,12,G12,0.1769
Plate 0005,H,12,H12,0.244
Plate 0006,A,1,A1,3.89
Plate 0006,B,1,B1,2.14
Plate 0006,C,1,C1,1.25
Plate 0006,D,1,D1,0.67
Plate 0006,E,1,E1,0.36
Plate 0006,F,1,F1,0.22
Plate 0006,G,1,G1,0.16
Plate 0006,H,1,H1,0.13
Plate 0006,A,2,A2,3.95
Plate 0006,B,2,B2,2.28
Plate 0006,C,2,C2,1.16
Plate 0006,D,2,D2,0.58
Plate 0006,E,2,E2,0.33
Plate 0006,F,2,F2,0.19
Plate 0006,G,2,G2,0.15
Plate 0006,H,2,H2,0.12
Plate 0006,A,3,A3,1.6388
Plate 0006,B,3,B3,0.9217
Plate 0006,C,3,C3,0.6323
Plate 0006,D,3,D3,0.41
Plate 0006,E,3,E3,1.1875
Plate 0006,F,3,F3,1.7377
Plate 0006,G,3,G3,1.6461
Plate 0006,H,3,H3,1.5887
Plate 0006,A,4,A4,1.5278
Plate 0006,B,4,B4,0.8985
Plate 0006,C,4,C4,0.4678
Plate 0006,D,4,D4,0.2955
Plate 0006,E,4,E4,1.793
Plate 0006,F,4,F4,1.6706
Plate 0006,G,4,G4,1.4734
Plate 0006,H,4,H4,1.2988
Plate 0006,A,5,A5,0.4369
Plate 0006,B,5,B5,0.3273
Plate 0006,C,5,C5,0.2661
Plate 0006,D,5,D5,0.2573
Plate 0006,E,5,E5,0.1698
Plate 0006,F,5,F5,0.1064
Plate 0006,G,5,G5,0.2005
Plate 0006,H,5,H5,0.1235
Plate 0006,A,6,A6,0.4161
Plate 0006,B,6,B6,0.332
Plate 0006,C,6,C6,0.2722
Plate 0006,D,6,D6,0.2577
Plate 0006,E,6,E6,0.1771
Plate 0006,F,6,F6,0.1265
Plate 0006,G,6,G6,0.1956
Plate 0006,H,6,H6,0.1433
Plate 0006,A,7,A7,0.1121
Plate 0006,B,7,B7,0.1151
Plate 0006,C,7,C7,0.0665
Plate 0006,D,7,D7,0.0697
Plate 0006,E,7,E7,0.1003
Plate 0006,F,7,F7,0.0578
Plate 0006,G,7,G7,0.081
Plate 0006,H,7,H7,0.096
Plate 0006,A,8,A8,0.0966
Plate 0006,B,8,B8,0.0678
Plate 0006,C,8,C8,0.0823
Plate 0006,D,8,D8,0.0682
Plate 0006,E,8,E8,0.1222
Plate 0006,F,8,F8,0.0965
Plate 0006,G,8,G8,0.1672
Plate 0006,H,8,H8,0.1651
Plate 0006,A,9,A9,0.7028
Plate 0006,B,9,B9,0.919
Plate 0006,C,9,C9,0.3138
Plate 0006,D,9,D9,0.1765
Plate 0006,E,9,E9,0.4373
Plate 0006,F,9,F9,0.2137
Plate 0006,G,9,G9,0.0899
Plate 0006,H,9,H9,0.0851
Plate 0006,A,10,A10,0.7736
Plate 0006,B,10,B10,0.6871
Plate 0006,C,10,C10,0.414
Plate 0006,D,10,D10,0.2236
Plate 0006,E,10,E10,0.4182
Plate 0006,F,10,F10,0.2467
Plate 0006,G,10,G10,0.0954
Plate 0006,H,10,H10,0.0803
Plate 0007,A,1,A1,4.5173
Plate 0007,B,1,B1,2.8919
Plate 0007,C,1,C1,1.5534
Plate 0007,D,1,D1,0.8318
Plate 0007,E,1,E1,0.4632
Plate 0007,F,1,F1,0.2935
Plate 0007,G,1,G1,0.2217
Plate 0007,H,1,H1,0.2065
Plate 0007,A,2,A2,4.4442
Plate 0007,B,2,B2,2.775
Plate 0007,C,2,C2,1.4773
Plate 0007,D,2,D2,0.7655
Plate 0007,E,2,E2,0.4259
Plate 0007,F,2,F2,0.2985
Plate 0007,G,2,G2,0.1878
Plate 0007,H,2,H2,0.1398
Plate 0007,A,3,A3,0.2397
Plate 0007,B,3,B3,0.2573
Plate 0007,C,3,C3,0.2743
Plate 0007,D,3,D3,0.3444
Plate 0007,E,3,E3,0.2103
Plate 0007,F,3,F3,0.1968
Plate 0007,G,3,G3,0.162
Plate 0007,H,3,H3,0.1775
Plate 0007,A,4,A4,0.2247
Plate 0007,B,4,B4,0.1843
Plate 0007,C,4,C4,0.2685
Plate 0007,D,4,D4,0.2882
Plate 0007,E,4,E4,0.2627
Plate 0007,F,4,F4,0.146
Plate 0007,G,4,G4,0.1775
Plate 0007,H,4,H4,0.1967
Plate 0007,A,5,A5,0.1922
Plate 0007,B,5,B5,0.1517
Plate 0007,C,5,C5,0.1701
Plate 0007,D,5,D5,0.1711
Plate 0007,E,5,E5,0.1191
Plate 0007,F,5,F5,0.1239
Plate 0007,G,5,G5,0.1219
Plate 0007,H,5,H5,0.1389
Plate 0007,A,6,A6,0.1853
Plate 0007,B,6,B6,0.1467
Plate 0007,C,6,C6,0.1827
Plate 0007,D,6,D6,0.1533
Plate 0007,E,6,E6,0.1509
Plate 0007,F,6,F6,0.1305
Plate 0007,G,6,G6,0.1224
Plate 0007,H,6,H6,0.1126
Plate 0007,A,7,A7,0.1159
Plate 0007,B,7,B7,0.1269
Plate 0007,C,7,C7,0.2466
Plate 0007,D,7,D7,0.1985
Plate 0007,E,7,E7,0.1738
Plate 0007,F,7,F7,0.1532
Plate 0007,G,7,G7,0.1652
Plate 0007,H,7,H7,0.1421
Plate 0007,A,8,A8,0.1217
Plate 0007,B,8,B8,0.1176
Plate 0007,C,8,C8,0.3017
Plate 0007,D,8,D8,0.2078
Plate 0007,E,8,E8,0.1826
Plate 0007,F,8,F8,0.1408
Plate 0007,G,8,G8,0.1605
Plate 0007,H,8,H8,0.1583
Plate 0007,A,9,A9,0.221
Plate 0007,B,9,B9,0.1699
Plate 0007,C,9,C9,0.1776
Plate 0007,D,9,D9,0.1247
Plate 0007,E,9,E9,0.194
Plate 0007,F,9,F9,0.1312
Plate 0007,G,9,G9,0.1901
Plate 0007,H,9,H9,0.1773
Plate 0007,A,10,A10,0.2131
Plate 0007,B,10,B10,0.1305
Plate 0007,C,10,C10,0.1653
Plate 0007,D,10,D10,0.1301
Plate 0007,E,10,E10,0.1972
Plate 0007,F,10,F10,0.1251
Plate 0007,G,10,G10,0.2203
Plate 0007,H,10,H10,0.1937
Plate 0007,A,11,A11,0.1722
Plate 0007,B,11,B11,0.194
Plate 0007,C,11,C11,0.1607
Plate 0007,D,11,D11,0.1655
Plate 0007,E,11,E11,0.4769
Plate 0007,F,11,F11,0.4547
Plate 0007,G,11,G11,0.0943
Plate 0007,H,11,H11,0.1067
Plate 0007,A,12,A12,0.2016
Plate 0007,B,12,B12,0.1813
Plate 0007,C,12,C12,0.1648
Plate 0007,D,12,D12,0.1753
Plate 0007,E,12,E12,0.4487
Plate 0007,F,12,F12,0.4473
Plate 0007,G,12,G12,0.1133
Plate 0007,H,12,H12,0.0452
Plate 0008,A,1,A1,4.2826
Plate 0008,B,1,B1,2.3401
Plate 0008,C,1,C1,1.272
Plate 0008,D,1,D1,0.7354
Plate 0008,E,1,E1,0.4021
Plate 0008,F,1,F1,0.235
Plate 0008,G,1,G1,0.1592
Plate 0008,H,1,H1,0.1146
Plate 0008,A,2,A2,4.2876
Plate 0008,B,2,B2,2.3812
Plate 0008,C,2,C2,1.259
Plate 0008,D,2,D2,0.7291
Plate 0008,E,2,E2,0.4302
Plate 0008,F,2,F2,0.2344
Plate 0008,G,2,G2,0.1589
Plate 0008,H,2,H2,0.1319
Plate 0008,A,3,A3,0.1288
Plate 0008,B,3,B3,0.0937
Plate 0008,C,3,C3,0.1377
Plate 0008,D,3,D3,0.1169
Plate 0008,E,3,E3,0.1283
Plate 0008,F,3,F3,0.1311
Plate 0008,G,3,G3,0.1408
Plate 0008,H,3,H3,0.1301
Plate 0008,A,4,A4,0.1141
Plate 0008,B,4,B4,0.0968
Plate 0008,C,4,C4,0.1417
Plate 0008,D,4,D4,0.1133
Plate 0008,E,4,E4,0.1236
Plate 0008,F,4,F4,0.144
Plate 0008,G,4,G4,0.1383
Plate 0008,H,4,H4,0.1241
Plate 0008,A,5,A5,0.1275
Plate 0008,B,5,B5,0.0983
Plate 0008,C,5,C5,0.0888
Plate 0008,D,5,D5,0.0954
Plate 0008,E,5,E5,0.1271
Plate 0008,F,5,F5,0.1372
Plate 0008,G,5,G5,0.0925
Plate 0008,H,5,H5,0.1023
Plate 0008,A,6,A6,0.14
Plate 0008,B,6,B6,0.09
Plate 0008,C,6,C6,0.0892
Plate 0008,D,6,D6,0.0978
Plate 0008,E,6,E6,0.1274
Plate 0008,F,6,F6,0.1399
Plate 0008,G,6,G6,0.0857
Plate 0008,H,6,H6,0.111
Plate 0008,A,7,A7,0.5425
Plate 0008,B,7,B7,0.4192
Plate 0008,C,7,C7,0.3282
Plate 0008,D,7,D7,0.2905
Plate 0008,E,7,E7,0.0997
Plate 0008,F,7,F7,0.0801
Plate 0008,G,7,G7,0.0819
Plate 0008,H,7,H7,0.0804
plate 0001,A,1,A1,4.9636
plate 0001,B,1,B1,3.7511
plate 0001,C,1,C1,2.0768
plate 0001,D,1,D1,1.0649
plate 0001,E,1,E1,0.4978
plate 0001,F,1,F1,0.255
plate 0001,G,1,G1,0.1564
plate 0001,H,1,H1,0.1025
plate 0001,A,2,A2,5.5359
plate 0001,B,2,B2,3.5698
plate 0001,C,2,C2,2.0104
plate 0001,D,2,D2,0.9835
plate 0001,E,2,E2,0.4709
plate 0001,F,2,F2,0.2662
plate 0001,G,2,G2,0.1499
plate 0001,H,2,H2,0.0998
plate 0001,A,3,A3,0.4362
plate 0001,B,3,B3,0.2695
plate 0001,C,3,C3,0.2011
plate 0001,D,3,D3,0.2577
plate 0001,E,3,E3,0.2285
plate 0001,F,3,F3,0.1848
plate 0001,G,3,G3,0.1348
plate 0001,H,3,H3,0.1033
plate 0001,A,4,A4,0.4191
plate 0001,B,4,B4,0.2596
plate 0001,C,4,C4,0.2098
plate 0001,D,4,D4,0.2689
plate 0001,E,4,E4,0.2366
plate 0001,F,4,F4,0.1923
plate 0001,G,4,G4,0.1409
plate 0001,H,4,H4,0.1033
plate 0001,A,5,A5,0.1063
plate 0001,B,5,B5,0.0784
plate 0001,C,5,C5,0.0781
plate 0001,D,5,D5,0.0627
plate 0001,E,5,E5,0.0618
plate 0001,F,5,F5,0.0574
plate 0001,G,5,G5,0.0565
plate 0001,H,5,H5,0.0592
plate 0001,A,6,A6,0.1089
plate 0001,B,6,B6,0.0795
plate 0001,C,6,C6,0.0652
plate 0001,D,6,D6,0.0695
plate 0001,E,6,E6,0.0564
plate 0001,F,6,F6,0.0564
plate 0001,G,6,G6,0.0572
plate 0001,H,6,H6,0.054
plate 0001,A,7,A7,0.0528
plate 0001,B,7,B7,0.0513
plate 0001,C,7,C7,0.0472
plate 0001,D,7,D7,0.0486
plate 0001,E,7,E7,0.0495
plate 0001,F,7,F7,0.0488
plate 0001,G,7,G7,0.0513
plate 0001,H,7,H7,0.0509
plate 0001,A,8,A8,0.0478
plate 0001,B,8,B8,0.05
plate 0001,C,8,C8,0.0548
plate 0001,D,8,D8,0.0512
plate 0001,E,8,E8,0.0468
plate 0001,F,8,F8,0.0478
plate 0001,G,8,G8,0.0501
plate 0001,H,8,H8,0.0517
plate 0001,A,9,A9,0.052
plate 0001,B,9,B9,0.049
plate 0001,C,9,C9,0.0485
plate 0001,D,9,D9,0.0527
plate 0001,E,9,E9,0.0472
plate 0001,F,9,F9,0.0472
plate 0001,G,9,G9,0.0512
plate 0001,H,9,H9,0.051
plate 0001,A,10,A10,0.0514
plate 0001,B,10,B10,0.0485
plate 0001,C,10,C10,0.0508
plate 0001,D,10,D10,0.0498
plate 0001,E,10,E10,0.05
plate 0001,F,10,F10,0.0602
plate 0001,G,10,G10,0.0515
plate 0001,H,10,H10,0.055
plate 0003,A,1,A1,4.5455
plate 0003,B,1,B1,2.4931
plate 0003,C,1,C1,1.1634
plate 0003,D,1,D1,0.6366
plate 0003,E,1,E1,0.3242
plate 0003,F,1,F1,0.1992
plate 0003,G,1,G1,0.132
plate 0003,H,1,H1,0.0946
plate 0003,A,2,A2,4.0513
plate 0003,B,2,B2,1.994
plate 0003,C,2,C2,1.0341
plate 0003,D,2,D2,0.5013
plate 0003,E,2,E2,0.2657
plate 0003,F,2,F2,0.1557
plate 0003,G,2,G2,0.1129
plate 0003,H,2,H2,0.0801
plate 0003,A,3,A3,0.2145
plate 0003,B,3,B3,0.371
plate 0003,C,3,C3,0.2278
plate 0003,D,3,D3,0.1894
plate 0003,E,3,E3,0.0858
plate 0003,F,3,F3,0.0713
plate 0003,G,3,G3,0.0673
plate 0003,H,3,H3,0.0641
plate 0003,A,4,A4,0.4066
plate 0003,B,4,B4,0.3577
plate 0003,C,4,C4,0.2048
plate 0003,D,4,D4,0.1448
plate 0003,E,4,E4,0.0597
plate 0003,F,4,F4,0.0626
plate 0003,G,4,G4,0.0541
plate 0003,H,4,H4,0.0505
plate 0003,A,5,A5,0.1032
plate 0003,B,5,B5,0.1405
plate 0003,C,5,C5,0.1011
plate 0003,D,5,D5,0.1086
plate 0003,E,5,E5,0.0955
plate 0003,F,5,F5,0.0885
plate 0003,G,5,G5,0.1007
plate 0003,H,5,H5,0.1022
plate 0003,A,6,A6,0.0717
plate 0003,B,6,B6,0.0822
plate 0003,C,6,C6,0.0686
plate 0003,D,6,D6,0.0778
plate 0003,E,6,E6,0.0728
plate 0003,F,6,F6,0.0697
plate 0003,G,6,G6,0.0669
plate 0003,H,6,H6,0.0735
plate 0003,A,7,A7,0.1102
plate 0003,B,7,B7,0.1345
plate 0003,C,7,C7,0.1049
plate 0003,D,7,D7,0.1319
plate 0003,E,7,E7,0.0917
plate 0003,F,7,F7,0.1011
plate 0003,G,7,G7,0.0841
plate 0003,H,7,H7,0.0729
plate 0003,A,8,A8,0.0767
plate 0003,B,8,B8,0.0777
plate 0003,C,8,C8,0.0736
plate 0003,D,8,D8,0.083
plate 0003,E,8,E8,0.0676
plate 0003,F,8,F8,0.0709
plate 0003,G,8,G8,0.0636
plate 0003,H,8,H8,0.0673
plate 0003,A,9,A9,0.085
plate 0003,B,9,B9,0.096
plate 0003,C,9,C9,0.0962
plate 0003,D,9,D9,0.1318
plate 0003,E,9,E9,0.0565
plate 0003,F,9,F9,0.0556
plate 0003,G,9,G9,0.059
plate 0003,H,9,H9,0.0558
plate 0003,A,10,A10,0.0686
plate 0003,B,10,B10,0.079
plate 0003,C,10,C10,0.0795
plate 0003,D,10,D10,0.0998
plate 0003,E,10,E10,0.0588
plate 0003,F,10,F10,0.0501
plate 0003,G,10,G10,0.0506
plate 0003,H,10,H10,0.0494
