Row,Col,A_Diff_Linear,A_Blue_Linear,A_Green_Diff_Linear,A_Diff,A_Blue,A_Green_Diff,A_Plast_Diff,A_Plast_Green_Diff,T_Plast_Blue,T_Plast_Green,T_Plast_Red,A_Core_Blue,Meniscus_Depth_Ratio,Delta_BStar,B_Star_Norm,Chroma,Hue_Angle,Chroma_L_Ratio,SSAI,AAR,NDYI,RB_Ratio,GB_Ratio,RG_Ratio,Rel_Sat,Blue_Med,Green_Med,Red_Med,L_Med,A_Med,B_Star_Med,S_Med,V_Med,Plate,Photo,True_OD
A,11,0.19989527326473927,0.4237285351006994,0.0029074524277847846,0.09086148784760877,0.19260387959122705,0.0013215692853566913,-0.011892762923917666,-0.01322236877489022,1.2045513185211267,1.2082447401333167,1.1720133117105296,0.3134775986576383,0.7711864406779662,-39.13745707508042,0.9856115107913669,186.1316738225926,0.8271988952702993,1.3390767900905942,0.1997210694122965,0.08037377326018982,0.07070706927864506,1.1652173913043478,1.1391304347826088,1.0229007633587786,2.8113902756995195,115.0,131.0,134.0,139.0,126.0,137.0,36.0,134.0,Plate 0002,Plate C 0002.jpg,0.0995
B,1,2.2781811477418743,2.406264723167876,0.14490964783949767,1.0355368853372156,1.0937566923490345,0.06586802174522619,0.7306088239913641,0.02838683802947653,0.24121806590298014,1.2151553880445691,1.2972349919784498,0.9938697407176719,0.7692307692307693,31.184112731363513,1.4031007751937985,221.11083193728885,0.9589588400772263,1.7140374568782082,2.183268161610428,0.0698898607408059,0.8309858862328914,11.75,9.916666666666666,1.184873949579832,13.073794934587685,12.0,119.0,141.0,129.0,127.0,181.0,232.0,141.0,Plate 0002,Plate C 0002.jpg,3.6738
B,2,0.09922509092327103,0.13234363583829292,0.006598646638671719,0.04510231405603225,0.0601561981083149,0.002999384835759889,-0.10599503335486661,-0.01825348017460582,1.5802083352764935,1.2911383921120199,1.2379962093978798,0.031101453434319408,0.7428571428571429,-1.0605833067635615,0.8742138364779874,187.608635195718,0.834415471499605,1.1799285232435095,0.09902905360376305,0.13668841778235732,0.07964601628945105,1.1846153846153846,1.1615384615384616,1.0198675496688743,2.8901553884616167,130.0,151.0,154.0,159.0,126.0,139.0,39.0,154.0,Plate 0002,Plate C 0002.jpg,0.0992
B,3,0.643499747967899,0.6261900732232052,0.021801810380674132,0.2924998854399542,0.2846318514650934,0.009909913809397304,0.21422172240561246,-0.001759943977254111,0.7202608150629671,1.1843265205692135,1.179536842632792,0.3382913135544771,0.6785714285714286,35.92665147080382,1.049689440993789,206.69300907384363,0.9572958946931401,1.2838075097754262,0.6393182593290605,0.05813115465373735,0.3403805424866693,2.0641025641025643,2.0,1.0320512820512822,12.976697603013356,78.0,156.0,161.0,161.0,119.0,169.0,131.0,161.0,Plate 0002,Plate C 0002.jpg,0.3614
B,4,-0.005109716101997119,-0.03925194497983347,0.00023921508788710133,-0.002322598228180473,-0.017841793172651586,0.00010873413085773359,-0.04131685652032978,-0.005663167508931803,1.2360882151666541,1.1386644894203748,1.1239127794085815,-0.012740926367435913,0.8484848484848485,1.138711994171473,0.7647058823529411,182.43903091169938,0.7931499461096552,1.0731707700688198,-0.005109349431955096,0.20217468261715466,0.01404056140342338,1.0316455696202531,1.0253164556962024,1.0061728395061729,1.0605853531088143,158.0,162.0,163.0,170.0,128.0,130.0,8.0,163.0,Plate 0002,Plate C 0002.jpg,0.0613
B,5,0.0656948255801449,0.035259117862294,0.0018047219857578907,0.029861284354611377,0.016026871755588205,0.000820328175344498,0.012172614315876719,-0.0013224628284045359,1.0498247470103668,1.0829586714205761,1.0796659879614794,0.040253431149469866,0.864516129032258,7.629951136394965,0.8035714285714286,184.66456075814872,0.8198672643969563,1.0991938140365995,0.06565927655815286,0.1354890327996548,0.04361873919840486,1.0945945945945945,1.087837837837838,1.0062111801242235,3.9482882514469555,148.0,161.0,162.0,168.0,126.0,135.0,23.0,162.0,Plate 0002,Plate C 0002.jpg,0.1156
B,6,-0.006379329174085596,-0.018368840610190767,0.002275517715982542,-0.0028996950791299256,-0.008349473004632249,0.0010343262345374193,-0.010836875740320148,0.0009288702399097223,1.0754440082267291,1.046699600195942,1.0489406799573198,0.009648867376160787,0.9565217391304348,-0.5511468167778446,0.7664670658682635,181.01933598375618,0.7853981633974483,1.0839481196632106,-0.0063749772619760125,0.22068652469074837,-0.00157480312480625,1.0,0.9937106918238994,1.0063291139240507,0.8113650641969258,159.0,158.0,159.0,167.0,128.0,128.0,4.0,160.0,Plate 0002,Plate C 0002.jpg,0.0536
B,7,0.17833424460572075,0.16980308447126605,0.007544999555489512,0.08106102027532759,0.07718322021421184,0.0034295452524951984,0.07398935044030117,0.00401970635021643,0.895723332699539,1.0523095975673027,1.0620946904264832,0.14754851283193454,0.8880597014925373,8.617789705102837,0.8597560975609756,187.76847445724215,0.849461322392921,1.144929722300257,0.17793149668669814,0.10246788270290406,0.08591065144483417,1.1954887218045114,1.1804511278195489,1.0127388535031847,8.66075759676733,133.0,157.0,159.0,164.0,124.0,141.0,42.0,159.0,Plate 0002,Plate C 0002.jpg,0.173
B,8,0.2436194974116254,0.2116842218502731,0.005258905435898558,0.11073613518710236,0.0962201008410332,0.00239041156177202,0.09655720194874165,0.0023208363278056157,0.908913861304756,1.1291693787285726,1.1352197249852436,0.09983329908033653,1.0852713178294573,7.186942465384277,0.863905325443787,190.90573590125572,0.8706925755941733,1.1296197390606848,0.2432357512672621,0.07708541422468045,0.11262798442614362,1.2615384615384615,1.2461538461538462,1.0123456790123457,9.701040183041599,130.0,162.0,164.0,169.0,123.0,146.0,54.0,165.0,Plate 0002,Plate C 0002.jpg,0.1843
B,9,0.30808913001405835,0.35124245133724613,0.009454215684620251,0.14004051364275377,0.15965565969874818,0.004297370765736556,0.10982255322083934,0.0018518592800885886,0.8746132385936294,1.121467624997606,1.1262598441477214,0.21714814389909365,0.9572649572649573,0.15701898930214497,0.9426751592356688,192.43960091415696,0.8773887218021472,1.2257299421283883,0.3072177790704138,0.0752332778504975,0.1369605978056173,1.3304347826086957,1.3043478260869565,1.02,9.184039500081537,115.0,150.0,153.0,157.0,123.0,148.0,65.0,153.0,Plate 0002,Plate C 0002.jpg,0.1834
B,10,0.42876583398785095,0.6099578082647297,0.02285800135068286,0.19489356090356863,0.27725354921124074,0.010390000613946751,0.13651660910848296,0.003049993237119998,0.789190761143028,1.07312078899655,1.080683701264496,0.3651523942188922,0.9222222222222223,-9.387730128640584,1.1029411764705883,193.98195792392653,0.8839786770362513,1.4263379259112245,0.4258456399240808,0.08326066450548977,0.1873589122492345,1.488888888888889,1.4333333333333333,1.0387596899224807,8.971461722844769,90.0,129.0,134.0,136.0,123.0,150.0,84.0,134.0,Plate 0002,Plate C 0002.jpg,0.1913
B,11,0.2561371309803374,0.48003809755802695,0.011428611616986523,0.11642596862742623,0.21819913525364867,0.005194823462266671,0.009328600226800501,-0.0113097674016579,1.1683045063492963,1.2251645427192097,1.1936710252184963,0.32689852905033095,0.8867924528301887,-34.4346399315512,1.037313432835821,187.608635195718,0.834415471499605,1.4000644417590895,0.2552619440944417,0.09130079630951678,0.0940170920081818,1.2264150943396226,1.1886792452830188,1.0317460317460319,3.7048150267062425,106.0,126.0,130.0,134.0,126.0,139.0,46.0,130.0,Plate 0002,Plate C 0002.jpg,0.122
C,1,2.1883982365350425,2.2524478602280085,0.09181684058894247,0.9947264711522918,1.0238399364672763,0.04173492754042846,0.7755356029540268,0.011439602450597733,0.22574223549598788,1.3113204135391832,1.3463203937847663,1.0121395537490356,0.7333333333333333,39.96554753093983,1.3120567375886525,221.60550534677608,0.9877999392469278,1.5716702506863551,2.1297345862347212,0.04952006957703186,0.8193548122788771,10.642857142857142,9.5,1.1203007518796992,13.418787301979274,14.0,133.0,149.0,141.0,122.0,185.0,231.0,149.0,Plate 0002,Plate C 0002.jpg,1.8589
C,2,0.034940119796302585,0.07421713422593687,0.0009765974180438175,0.015881872634682985,0.03373506101178945,0.00044390791729274556,-0.09023941926178256,-0.01596827697719401,1.4798188583219145,1.247203770832697,1.2021790026111967,0.04566782108704661,0.7793103448275862,-1.658846139100973,0.8535031847133758,184.6212338816963,0.8122116589452836,1.1759314259980655,0.034929886065339394,0.15852475801962307,0.04529616645825494,1.102189781021898,1.0875912408759123,1.0134228187919463,1.767535995831412,137.0,149.0,151.0,157.0,127.0,134.0,23.0,151.0,Plate 0002,Plate C 0002.jpg,0.0758
C,3,0.3916765314630274,0.3604546657486924,0.010043249932763565,0.17803478702864883,0.16384302988576926,0.004565113605801583,0.12860996801488173,-0.003651499304329564,0.8743120195321022,1.1855719516244958,1.1756455839687987,0.21338951250023577,0.7850467289719626,28.9468442529255,0.9693251533742331,198.40362899906847,0.9212469046592403,1.2172001779083956,0.3904999648393423,0.06387233191737415,0.21988527304234662,1.5784313725490196,1.5490196078431373,1.018987341772152,9.727517288115266,102.0,158.0,161.0,163.0,120.0,158.0,94.0,161.0,Plate 0002,Plate C 0002.jpg,0.2593
C,4,-0.01865390425597587,-0.06212206830159466,0.0006524775890361864,-0.008479047389079883,-0.02823730377345211,0.0002965807222892365,-0.027196459511136382,-0.002954719718207245,1.191868854299282,1.1271630180218422,1.119520399401514,-0.016257727531096822,0.927710843373494,2.789593555265924,0.757396449704142,181.01933598375618,0.7853981633974483,1.0711203312648294,-0.01865025359422585,0.20593161444578473,0.004665629787470766,1.0125,1.00625,1.0062111801242235,0.5581160440670746,160.0,161.0,162.0,169.0,128.0,128.0,4.0,162.0,Plate 0002,Plate C 0002.jpg,0.0566
C,5,0.025846786606137984,-0.02108080608106147,-0.003771031613242007,0.011748539366426345,-0.009582184582300661,-0.001714105278746464,0.009015395397034491,-0.002013925646245633,1.0649958584980492,1.092388802981735,1.0873348664065074,-0.00878719713375423,1.0188679245283019,6.934404569623879,0.7751479289940828,182.45547402037573,0.8009007973224648,1.0796181894696788,0.025846786606137984,0.16194715053352596,0.022082018579147975,1.0451612903225806,1.0451612903225806,1.0,2.002612335969785,155.0,162.0,162.0,169.0,127.0,131.0,11.0,162.0,Plate 0002,Plate C 0002.jpg,0.0958
C,6,-0.008106014975985575,-0.037734744099061586,-0.00346990694541573,-0.00368455226181162,-0.017152156408664354,-0.0015772304297344188,-0.0005594673893948576,-0.00040857559034644317,1.0627846382457224,1.0624154472078802,1.0614164179428793,-0.016435716024380227,1.0869565217391304,1.393073702020672,0.7604790419161677,180.31361568112376,0.7814766148726883,1.0797222495875674,-0.008106014975985575,0.19999999999999998,-0.0031347961891097778,0.99375,0.99375,1.0,0.861568007269193,160.0,159.0,159.0,167.0,128.0,127.0,4.0,160.0,Plate 0002,Plate C 0002.jpg,0.0529
C,7,0.10667078065454358,0.07939770741514307,0.0016856213832003378,0.04848671847933807,0.036089867006883276,0.0007661915378183639,0.04932908021041921,0.002107402852735335,0.9641156989460737,1.0748573535793984,1.0800857464264695,0.056114390095548125,1.0909090909090908,6.213724075009907,0.8192771084337349,185.39687160251654,0.8235475842684309,1.1168486241115454,0.1066168659538251,0.10931617688203356,0.04793388350522507,1.1041666666666667,1.0972222222222223,1.0063291139240507,5.428469500488205,144.0,158.0,159.0,166.0,126.0,136.0,25.0,159.0,Plate 0002,Plate C 0002.jpg,0.1251
C,8,0.2048005979838753,0.1530323949424006,-0.0005152185285745015,0.0930911809017615,0.06956017951927299,-0.00023419024026114302,0.08387474817692833,-0.00010868837688858546,0.9571127002524608,1.161305587543334,1.1610149906517555,0.049221213673865866,1.2388059701492538,6.44513319936658,0.8461538461538461,188.62131374794313,0.8604449269938889,1.1161024482126813,0.2048005979838753,0.0698855089250081,0.09181969796628217,1.2058823529411764,1.1985294117647058,1.0061349693251533,8.201694102747572,136.0,163.0,164.0,169.0,123.0,143.0,44.0,164.0,Plate 0002,Plate C 0002.jpg,0.1674
C,9,0.1662047814235892,0.23988179005297014,0.0037940702066705106,0.07554762791981322,0.10903717729680457,0.0017245773666684228,0.04702178565831359,-0.0012047814636862234,0.9858777837566182,1.1016652414176544,1.098613333952791,0.1599948820174259,1.0634920634920635,-9.889118648572776,0.9006622516556292,185.39687160251654,0.8235475842684309,1.227793851672295,0.1660158187220943,0.09338748617502247,0.06273062614888143,1.141732283464567,1.125984251968504,1.013986013986014,4.485302985442409,127.0,143.0,145.0,151.0,126.0,136.0,31.0,145.0,Plate 0002,Plate C 0002.jpg,0.1218
C,10,0.2832663489513002,0.5015953594339319,0.02502961954347674,0.1287574313415001,0.22799789065178724,0.011377099792489395,0.06729057204308625,0.00252153193848529,0.9039646215921191,1.0493502587785313,1.0554605514421103,0.30286971367595933,1.0204081632653061,-17.811757774846853,1.0852713178294573,188.35073665903195,0.83798122500839,1.4600832299149764,0.28115518674423523,0.11958719496058519,0.11011235707612681,1.2727272727272727,1.2222222222222223,1.0413223140495869,5.7315824683099175,99.0,121.0,126.0,129.0,126.0,140.0,53.0,126.0,Plate 0002,Plate C 0002.jpg,0.123
C,11,0.3964236492909038,0.6507679782880896,0.02085345507497588,0.18019256785950166,0.29580362649458614,0.009478843215898133,0.06161879253172481,-0.010277463789611072,1.0301222849089282,1.2155841783324801,1.1871554073592159,0.40818224669539566,0.9418604651162791,-26.192778494962084,1.1587301587301588,192.20041623263984,0.8627343886930967,1.5254001288304748,0.3939590272281984,0.08461977463923628,0.16144577924227038,1.4137931034482758,1.3563218390804597,1.0423728813559323,6.158025072493207,87.0,118.0,123.0,126.0,125.0,146.0,76.0,123.0,Plate 0002,Plate C 0002.jpg,0.161
D,1,1.617939006127343,1.6593597192512666,0.05475954194176037,0.7354268209669741,0.7542544178414847,0.024890700882618372,0.5752217754706966,0.00029074202655729464,0.35865619304849883,1.3477500847276034,1.3486526492301165,0.8853391846881883,0.5517241379310345,42.156558516902294,1.2432432432432432,219.39974931617402,0.9948032596197135,1.4824307386227975,1.5917893100809954,0.044422599217662145,0.6985507043898347,5.846153846153846,5.423076923076923,1.0780141843971631,12.446416752734924,26.0,141.0,152.0,148.0,119.5,184.0,212.0,152.0,Plate 0002,Plate C 0002.jpg,0.8841
D,2,0.014514130937207142,0.030077922109010582,0.0003755531459562339,0.0065973322441850914,0.01367178277682304,0.00017070597543463427,-0.066060863506687,-0.012401162447447642,1.4129589101894724,1.248733697310305,1.2135807219338246,0.012009642819516516,0.891156462585034,-0.805352990161083,0.825,183.86951895297926,0.8007815651780434,1.1491844934561204,0.014512495873162888,0.17970292188956644,0.03378378321311177,1.0769230769230769,1.062937062937063,1.013157894736842,1.1651503479623844,143.0,152.0,154.0,160.0,128.0,132.0,15.0,154.0,Plate 0002,Plate C 0002.jpg,0.0652
D,3,0.35955712886408475,0.3280660435855166,0.00975812356112871,0.16343505857458393,0.14912092890250753,0.00443551070960394,0.1359048291911196,-0.001093201465171334,0.851032418324039,1.166659534370907,1.1637265243801935,0.15931395300265355,0.9181818181818182,29.44100226305781,0.9570552147239264,197.4259354796122,0.9110858981591379,1.2112020581571301,0.3585076203669407,0.06763420595477998,0.20303604927825333,1.5238095238095237,1.4952380952380953,1.019108280254777,9.19662694770231,105.0,157.0,160.0,163.0,121.0,156.0,88.0,160.0,Plate 0002,Plate C 0002.jpg,0.2406
D,4,-0.01700392747595593,-0.050149068225110054,0.0003292089320920816,-0.007729057943616217,-0.022795031011413558,0.0001496404236783211,-0.011046540597251686,-0.0011959889044045185,1.1284334269231076,1.1031266859889333,1.100093001766552,-0.03429021353222532,1.0368098159509203,4.9390327010317066,0.7710843373493976,181.01933598375618,0.7853981633974483,1.090477927612989,-0.017002248288355278,0.2029928084735664,0.004754358086301774,1.0127388535031847,1.0063694267515924,1.0063291139240507,0.5628015862490648,157.0,158.0,159.0,166.0,128.0,128.0,4.0,159.0,Plate 0002,Plate C 0002.jpg,0.0553
D,5,0.015223053108760664,-0.02861647188025092,0.0017278023118416086,0.006919569594891237,-0.013007487218295866,0.0007853646872007965,0.015099027444280735,0.0017552163027284504,1.0436868795012988,1.0762521573274495,1.080610669582667,-0.023260100424566416,1.0802469135802468,7.724300987392766,0.7784431137724551,182.43903091169938,0.7931499461096552,1.0924492868964035,0.015215166468820698,0.18948429800089048,0.014308425845653007,1.032258064516129,1.0258064516129033,1.0062893081761006,1.4586738628585474,155.0,159.0,160.0,167.0,128.0,130.0,8.0,160.0,Plate 0002,Plate C 0002.jpg,0.0848
D,6,-0.007057482447893407,-0.028502571220280232,-0.00401651241820003,-0.0032079465672242274,-0.012955714191036439,-0.0018256874628181617,0.007430614220104046,6.470621832279158e-05,1.0350913962819768,1.0527969224357723,1.0529537919918992,-0.017132837894123194,1.1518987341772151,3.836536715516772,0.7804878048780488,181.01933598375618,0.7853981633974483,1.1037764389253426,-0.007057482447893407,0.19999999999999998,-0.0031948881278771866,0.9936305732484076,0.9936305732484076,1.0,0.8553068249556408,157.0,156.0,156.0,164.0,128.0,128.0,4.0,157.0,Plate 0002,Plate C 0002.jpg,0.0521
D,7,0.19093696942377555,0.15240156038306685,-0.004956178038501048,0.08678953155626162,0.06927343653775767,-0.002252808199318602,0.09216387088177172,-0.0007333363498632853,0.8878252063832898,1.0995745469951483,1.0977194058280173,0.06464802646995654,1.1879699248120301,14.324148746235352,0.8614457831325302,188.62131374794313,0.8604449269938889,1.1362729743851996,0.19093696942377555,0.07310500947133512,0.09278350356042091,1.2045454545454546,1.2045454545454546,1.0,9.614067646424978,132.0,159.0,159.0,166.0,123.0,143.0,45.0,160.0,Plate 0002,Plate C 0002.jpg,0.1807
D,8,0.22588489391630734,0.15587742402820656,0.004592957036405637,0.10267495178013972,0.07085337455827573,0.0020877077438206937,0.09484217318859167,0.0017614470388958442,0.9598707312466395,1.1893056315722121,1.1941391098938694,0.04329097918737411,1.300751879699248,8.217814414534871,0.8470588235294118,189.38056922503955,0.8638882660347803,1.1140033483825855,0.22557407830125797,0.07917282830537686,0.10067113925048425,1.2313432835820894,1.2164179104477613,1.0122699386503067,8.75516305673442,134.0,163.0,165.0,170.0,123.0,144.0,48.0,165.0,Plate 0002,Plate C 0002.jpg,0.1867
D,9,0.3484413820777824,0.4558897651083649,0.017826968238267793,0.15838244639899196,0.20722262050380214,0.008103167381030826,0.12729956232103157,0.0038934241613902826,0.8029174553136016,1.066785337030899,1.0763920012797241,0.22168959643062056,1.202020202020202,2.5485363693681222,1.049645390070922,192.43960091415696,0.8773887218021472,1.364819864639411,0.34658779917150195,0.08687472334578755,0.15254236964952608,1.38,1.34,1.0298507462686568,10.183693236020122,100.0,134.0,138.0,141.0,123.0,148.0,72.0,138.0,Plate 0002,Plate C 0002.jpg,0.1883
D,10,0.5046858345315484,0.779267165865244,0.03573954215232544,0.22940265205979476,0.35421234812056546,0.016245246432875213,0.15954180934031995,0.004883809743899407,0.7047787297968752,1.0062613412606018,1.0176410044225295,0.3869738419941905,1.2352941176470589,-7.649665328746039,1.2605042016806722,194.6175737183053,0.880005398517178,1.6354417959521452,0.4993320647190382,0.09393341916904385,0.21925133103606068,1.6027397260273972,1.5205479452054795,1.054054054054054,10.069259395480094,73.0,111.0,117.0,119.0,124.0,150.0,95.0,117.0,Plate 0002,Plate C 0002.jpg,0.1748
D,11,0.4338262251674311,0.7285865444044813,0.030904276413371068,0.19719373871246865,0.33117570200203694,0.01404739836971411,0.058559667190126896,-0.01044158675864823,1.0289678962918842,1.2061548818857735,1.1775015628268088,0.41507750433505064,1.051948051948052,-26.344431687041123,1.2372881355932204,192.20041623263984,0.8627343886930967,1.6288170867172869,0.42984104720642696,0.09728158364757619,0.17708332872178834,1.4683544303797469,1.3924050632911393,1.0545454545454545,6.525436397134634,79.0,110.0,116.0,118.0,125.0,146.0,82.0,116.0,Plate 0002,Plate C 0002.jpg,0.1487
E,1,0.8490146274618299,0.8636604888231989,0.02554273063117523,0.3859157397553772,0.3925729494650904,0.011610332105079587,0.2681521659883701,-0.008522069704967578,0.7370644702840667,1.3937334151964391,1.3666510608418543,0.494426806697931,0.6119402985074627,35.82855051793024,1.1282051282051282,212.4547010541306,0.9762664008062047,1.3618891093213499,0.8425582558904451,0.04957456254552005,0.43793909981407264,2.6166666666666667,2.5,1.0466666666666666,9.196722425348932,60.0,150.0,157.0,156.0,119.0,176.0,158.0,157.0,Plate 0002,Plate C 0002.jpg,0.4394
E,2,-0.006837169537141347,0.005439611074117484,-0.000819901407528259,-0.003107804335064251,0.0024725504882351966,-0.0003726824579674158,-0.051130853769149026,-0.010035517772883737,1.3589439459875754,1.2362497228241935,1.2080104451511202,0.003511693118130599,0.92,-0.4916363508380357,0.8136645962732919,183.15294155431957,0.7969806570061045,1.1375959102752768,-0.006837169537141347,0.19999999999999998,0.02325581356717918,1.054421768707483,1.0408163265306123,1.0130718954248366,0.8421066633135024,147.0,153.0,155.0,161.0,128.0,131.0,11.0,155.0,Plate 0002,Plate C 0002.jpg,0.0633
E,3,0.7791412267100514,0.7433399963779566,0.0145110397487236,0.35415510305002335,0.33788181653543475,0.0065959271585108135,0.3427686075575009,0.003025574836232253,0.5292606173443675,1.1572111559454192,1.1653011809812868,0.42666148246614466,0.7368421052631579,49.411563359459436,1.0802469135802468,211.06634028191232,0.9775375298660234,1.3028786437155082,0.7757640836739041,0.041063262676301504,0.40088104843874345,2.3676470588235294,2.3088235294117645,1.0254777070063694,15.000116407710367,68.0,157.0,161.0,162.0,118.0,175.0,147.0,161.0,Plate 0002,Plate C 0002.jpg,0.494
